"interview__key","y5_hhid","y4_hhid","indidy5","hh_b01","hh_b02","hh_b03_1","hh_b03_2","hh_b04","hh_b05","hh_b06","hh_b07","hh_b08","hh_b09_1","hh_b0a","hh_b0b","hh_b10","hh_b11","hh_b12_1","hh_b12_2","hh_b13","hh_b14","hh_b15_1","hh_b15_2","hh_b16","hh_b17","hh_b18","hh_b19","hh_b20","hh_b21_1","hh_b21_2","hh_b21_3","hh_b21_4","hh_b22","hh_b23_1","hh_b23_2","hh_b23_3","hh_b23_4","hh_b24","hh_b25","hh_b26","hh_b27_2","hh_b27_3","hh_b28","hh_b29_2","hh_b29_3"
"67-34-56-15","1023-001-01","1023-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",29,2,2,1,31,1,1,,0,16,97,,,8,97,,,8,1,1,1,2,,,,1,1,,,,2,,5,4,48,3,4,43
"67-34-56-15","1023-001-01","1023-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,3,3,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"67-34-56-15","1023-001-01","1023-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"61-09-84-51","1024-001-01","1024-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",36,1,1,1,31,1,1,,0,7,98,,27,5,97,,,3,1,1,2,2,,,,1,2,,,,2,,6,2,22,1,11,112
"61-09-84-51","1024-001-01","1024-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",28,2,99,1,31,1,1,,0,7,97,,,3,97,,,3,1,1,1,2,,,,1,1,,,,2,,4,21,216,3,21,216
"61-09-84-51","1024-001-01","1024-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"49-38-79-42","1025-001-02","1025-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",43,1,2,1,30,1,1,,0,1,98,,32,3,98,,36,1,1,7,,,,,,,,,,,,,35,4,41,2,4,41
"36-53-30-05","1038-001-02","1038-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",33,1,2,1,30,1,1,,0,7,98,,24,3,98,,8,3,1,4,,,,,,,,,,,,,3,13,134,4,21,211
"36-53-30-05","1038-001-02","1038-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",14,3,3,1,30,1,2,2,0,14,97,,,3,96,2,,,1,6,,,,,,,,,,,,,3,13,134,4,21,216
"36-53-30-05","1038-001-02","1038-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",11,3,4,1,30,1,2,2,0,14,97,,,3,96,2,,,2,,,,,,,,,,,,,,,,,,,
"36-53-30-05","1038-001-02","1038-001",5,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",8,3,5,1,30,1,2,2,0,14,97,,,3,96,2,,,2,,,,,,,,,,,,,,,,,,,
"06-31-99-33","1039-001-01","1039-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",38,1,1,1,27,1,1,,0,16,97,,,3,97,,,3,1,1,1,2,,,,1,2,,,,2,,99,,,,,
"06-31-99-33","1039-001-01","1039-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",40,2,2,1,30,1,1,,0,7,98,,28,3,98,,39,3,1,1,1,2,,,,1,1,,,,2,,15,21,217,4,21,217
"06-31-99-33","1039-001-01","1039-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",14,3,3,1,30,1,2,1,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"06-31-99-33","1039-001-01","1039-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",7,3,4,1,30,1,2,1,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"06-31-99-33","1039-001-01","1039-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",15,8,99,1,30,1,2,1,0,14,99,,,8,98,,12,8,1,6,,,,,,,,,,,,,3,21,217,4,21,217
"98-68-74-00","1041-001-01","1041-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",76,1,1,1,0,1,1,,0,16,98,,57,3,98,,2,1,1,7,,,,,,,,,,,,,17,2,23,5,21,213
"86-53-32-92","1042-001-01","1042-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",35,1,1,1,30,1,1,,2,1,97,,,3,98,,22,3,1,3,,,,,,1,3,,,,2,,99,,,,,
"86-53-32-92","1042-001-01","1042-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",29,2,99,1,30,1,1,,0,16,97,,,2,97,,,3,1,3,,,,,,1,1,,,,2,,4,7,75,3,1,15
"86-53-32-92","1042-001-01","1042-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,3,99,1,30,1,2,3,0,17,96,1,,,96,3,,,2,,,,,,,,,,,,,,,,,,,
