"y4_hhid","cluster","strata","hhweight","region","district","ward","village","ea","month","quarter","urban","area","mainland","femalehead","hhsize","adulteq","intyear","intmonth","nf_clothing","nf_utilities","nf_hhexpenses","nf_transport","nf_communic","nf_recreat","nf_other","dur_exp","rent_exp","foodIN","foodOUT","educa","health","expm","fisherb4c4","foodINR_pae","foodOUTR_pae","educaR_pae","healthR_pae","nf_clothingR_pae","nf_utilitiesR_pae","nf_hhexpensesR_pae","nf_transportR_pae","nf_communicR_pae","nf_recreatR_pae","nf_otherR_pae","dur_expR_pae","rent_expR_pae","expmR_pae"
"5047-001",20310206464,2,5889.29541015625,2,3,102,7,5,8,3,2,2,1,1,2,1.28000000119209,2015,5,9500,466000,15600,52000,0,0,57600,18863.0811874018,94932.1171875,613600,0,0,0,1328095.25,1.00564885139465,36567.41015625,0,0,0,566.151184082031,27771.20703125,929.679870605469,3098.93286132813,0,0,3432.6640625,1124.14282226563,5657.466796875,79147.65625
"8000-001",190425219072,2,3225.09790039063,19,4,252,14,4,9,3,2,2,1,1,2,1.28000000119209,2015,6,14000,145400,0,520000,12000,500,105600,17519.0305729367,360000,1291550,0,0,325000,2791569,1.00564885139465,76969.75,0,0,19368.330078125,834.328125,8665.09375,0,30989.330078125,715.138366699219,29.7974319458008,6293.2177734375,1044.04418945313,21454.150390625,166363.171875
"7746-001",50706305024,2,3282.56567382813,5,7,63,4,315,7,3,2,2,1,0,4,3.15999999642372,2015,4,225000,138000,295000,480000,360000,0,102000,150340.277935001,381427.8125,759720,468000,0,130000,3489488,1.00564885139465,18339.40625,11297.3759765625,0,3138.15991210938,5431.4306640625,3331.27758789063,7121.208984375,11587.0517578125,8690.2890625,0,2462.24853515625,3629.16796875,9207.5498046875,84235.1640625
"6548-001",160406208512,2,2284.884765625,16,4,62,3,5,8,3,2,2,1,1,4,3.92000007629395,2015,5,155000,255600,62000,0,60000,0,108000,4582.74149460926,87694.0078125,959400,494000,0,2600,2188876.75,1.00564885139465,18669.490234375,9613.0166015625,0,50.5948219299316,3016.22973632813,4973.8603515625,1206.49194335938,0,1167.57287597656,0,2101.63110351563,89.1780776977539,1706.48571777344,42594.55078125
"7142-001",200509210624,2,4265.13037109375,20,5,92,4,1,9,3,2,2,1,0,2,1.87999999523163,2015,6,125000,185200,28800,0,36000,0,78000,23794.5179319765,204000,834600,0,0,2600,1517994.5,1.00564885139465,33864.0859375,0,0,105.495590209961,5071.9033203125,7514.5322265625,1168.56652832031,0,1460.70812988281,0,3164.86767578125,965.467956542969,8277.3466796875,61592.97265625
"6551-001",160406208512,2,2284.884765625,16,4,62,3,5,8,3,2,2,1,0,6,5.60000002384186,2015,5,37000,26800,18000,0,24000,0,32400,4186.53098540108,106725.171875,1042600,343200,11400,208000,1854311.625,1.00564885139465,14201.966796875,4674.9619140625,155.287185668945,2833.31005859375,504.002288818359,365.061096191406,245.190292358398,0,326.92041015625,0,441.342529296875,57.0275993347168,1453.77648925781,25258.845703125
"7709-001",50516201472,2,1908.27099609375,5,5,162,3,2,7,3,2,2,1,1,4,4.08000004291534,2015,4,0,818000,0,0,0,0,132000,38310.1377542019,576162.9375,2766400,0,1810000,0,6140873,1.00564885139465,51721.796875,0,33840.53515625,0,0,15293.677734375,0,0,0,0,2467.92846679688,716.2626953125,10772.1884765625,114812.390625
"6437-001",230208307200,2,1953.63391113281,23,2,83,1,307,9,3,2,2,1,1,1,0.879999995231628,2015,6,95000,84000,205500,0,120000,0,342000,12876.8660692554,240000,1290120,0,0,0,2389496.75,1.00564885139465,111832.0390625,0,0,0,8234.9267578125,7281.40869140625,17813.447265625,0,10402.0126953125,0,29645.736328125,1116.21105957031,20804.025390625,207129.796875
"8129-001",220602204160,2,1623.17944335938,22,6,22,1,3,8,3,2,2,1,0,1,1,2015,5,0,59200,0,0,12000,0,13200,5381.4691637537,60000,336483.34375,104000,0,0,590264.875,1.00564885139465,25667.4296875,7933.2685546875,0,0,0,4515.8603515625,0,0,915.377136230469,0,1006.91485595703,410.506134033203,4576.8857421875,45026.24609375
"7963-001",190306205696,2,6134.98779296875,19,3,62,2,6,9,3,2,2,1,0,1,1,2015,6,82000,549600,0,0,0,0,79200,10357.1135464894,240000,1482000,0,0,0,2443157,1.00564885139465,113049.0703125,0,0,0,6255.0771484375,41924.2734375,0,0,0,0,6041.48876953125,790.055419921875,18307.54296875,186367.5
