"y5_hhid","booster","cluster","strata","hhweight2","urban","area","region","district","month","quarter","mainland","femalehead","hhsize","adulteq","intyear","intmonth","hhweight_pan","hhweight","nf_clothing","nf_utilities","nf_hhexpenses","nf_transport","nf_communic","nf_recreat","nf_other","dur_exp","rent_exp","foodIN","foodOUT","educa","health","expm","fisherb4c4","foodINR_pae","foodOUTR_pae","educaR_pae","healthR_pae","nf_clothingR_pae","nf_utilitiesR_pae","nf_hhexpensesR_pae","nf_transportR_pae","nf_communicR_pae","nf_recreatR_pae","nf_otherR_pae","dur_expR_pae","rent_expR_pae","expmR_pae"
"8448-001-01",0,170510303232,3,1462.47143554688,1,3,17,175,8,3,1,0,27,20.2000000476837,2021,8,1117.38110351563,1462.47143554688,910000,5200,302500,1040000,144000,0,390000,666021.043019354,167686.828125,7560800,1768000,241000,1186900,14382108,0.961722493171692,29856.009765625,6981.46044921875,951.658386230469,4686.81884765625,3593.39868164063,20.5337066650391,1194.50891113281,4106.7412109375,568.625732421875,0,1540.02807617188,2629.97705078125,662.160034179688,56791.921875
"8791-001-01",0,140321112064,3,544.772155761719,1,3,14,141,9,3,1,1,6,4.28000000119209,2021,9,614.08984375,544.772155761719,47000,0,37000,520000,18000,0,60000,6205.88274777641,63631.93359375,1274397.75,0,0,52000,2078235.5,0.961722493171692,23750.7109375,0,0,969.114196777344,875.93017578125,0,689.562072753906,9691.142578125,335.462615966797,0,1118.20874023438,115.657867431641,1185.89636230469,38731.68359375
"5872-001-01",0,250121109504,3,3030.7138671875,1,3,25,251,7,3,1,0,15,12.0400000214577,2021,7,3005.3837890625,3030.7138671875,346500,5200,75400,0,36000,0,278400,8339.2718466612,157882.421875,3082742,0,109800,326300,4426564,0.961722493171692,20423.30859375,0,727.430053710938,2161.75244140625,2295.57836914063,34.4502410888672,499.528472900391,0,238.501663208008,0,1844.41284179688,55.2480621337891,1045.97827148438,29326.19140625
"8112-001-01",0,220403105792,3,6379.6767578125,1,3,22,224,7,3,1,1,3,2.75999999046326,2021,7,6663.14453125,6379.6767578125,103500,10400,48000,0,48000,0,60000,38680.1190849698,84912.2265625,1739632.5,416000,0,13000,2562124.75,0.961722493171692,50276.359375,12022.634765625,0,375.707336425781,2991.20825195313,300.565856933594,1387.22705078125,0,1387.22705078125,0,1734.03381347656,1117.87719726563,2454.01123046875,74046.8515625
"8453-001-01",0,170510303232,3,1036.72033691406,1,3,17,175,8,3,1,0,9,7.23999997973442,2021,8,1356.31127929688,1036.72033691406,75000,15600,44000,9600,120000,0,110400,17029.0495661758,199671.765625,3760284.25,1846000,74750,0,6272335,0.961722493171692,41428.3359375,20338.013671875,823.546325683594,0,826.300659179688,171.870529174805,484.763031005859,105.766479492188,1322.0810546875,0,1216.31457519531,187.614868164063,2199.85205078125,69104.4609375
"5773-001-01",0,10213103616,3,3207.75415039063,1,3,1,12,7,3,1,1,6,4.91999998688698,2021,7,2954.4267578125,3207.75415039063,67000,10400,34000,0,24000,0,90000,3457.87019521351,211006.265625,1226724.25,1014000,62500,32500,2775588.25,0.961722493171692,19888.28125,16439.486328125,1013.28198242188,526.906616210938,1086.23828125,168.610122680664,551.225402832031,0,389.100280761719,0,1459.1259765625,56.0607604980469,3420.94140625,44999.25390625
"6647-001-01",0,30111102976,3,1362.20300292969,1,3,3,31,8,3,1,1,2,1.72000002861023,2021,8,1605.33984375,1362.20300292969,0,70400,480000,0,12000,0,30000,285575.632000033,565808.6875,1138800,0,0,0,2582584.25,0.961722493171692,52812.21875,0,0,0,0,3264.82275390625,22260.154296875,0,556.503845214844,0,1391.25964355469,13243.662109375,26239.560546875,119768.1796875
"1006-001-05",0,20203304960,3,3019.47705078125,1,3,2,22,9,3,1,0,3,2.28000000119209,2021,9,3059.2421875,3019.47705078125,105000,341200,3600,0,96000,0,158400,316813.161354139,586426.5,1989472.75,520000,0,26000,4142912.5,0.961722493171692,69601.4921875,18192.14453125,0,909.607238769531,3673.41381835938,11936.845703125,125.945610046387,0,3358.5498046875,0,5541.60693359375,11083.6748046875,20516.068359375,144939.34375
"6991-001-01",0,80510099456,3,2144.7939453125,1,3,8,85,8,3,1,0,7,5.99999997019768,2021,8,2362.54638671875,2144.7939453125,191000,5200,66000,0,0,0,96000,37897.1998421243,163365.390625,4772007.5,390000,80000,91000,5892470,0.961722493171692,63440.3046875,5184.76123046875,1063.54077148438,1209.77758789063,2539.20361328125,69.1301498413086,877.421142578125,0,0,0,1276.24890136719,503.815216064453,2171.82177734375,78336.0234375
"4007-001-01",0,190403100672,3,1544.15307617188,1,3,5,54,8,3,1,0,8,7.28000006079674,2021,8,1510.05187988281,1544.15307617188,990000,34400,401000,0,120000,0,354000,251804.719930888,240000,8321637.5,2028000,920000,195000,13855843,0.961722493171692,91178.578125,22220.404296875,10080.2626953125,2136.57739257813,10847.2392578125,376.914154052734,4393.6796875,0,1314.81689453125,0,3878.70971679688,2758.97583007813,2629.6337890625,151815.796875
