"interview__key","y5_hhid","plot_id","cropid","ag4a_01","ag4a_02","ag4a_03","ag4a_04","ag4a_05","ag4a_06","ag4a_08","ag4a_10_1","ag4a_10_2","ag4a_10a_1","ag4a_10a_2","ag4a_10b","ag4a_10c_1","ag4a_10c_2","ag4a_12","ag4a_13_1","ag4a_13_2","ag4a_17","ag4a_18","ag4a_19","ag4a_20","ag4a_21","ag4a_22","ag4a_23","ag4a_24_1","ag4a_24_2","ag4a_25","ag4a_26","ag4a_27","ag4a_28","ag4a_29_1","ag4a_29_2"
"97-53-95-82","1780-001-01",1,41,2,1,1,2,,"ASILI",2,2,2,2,2,2,0,,,,,1,8,1,,4.5,1,1,7,7,,,600,700000,1,
"97-53-95-82","1780-001-01",2,31,1,,,2,,"ASILI",2,3,2,3,2,2,0,,,,,1,3,1,,4,2,,7,7,,,720,900000,1,
"97-53-95-82","1780-001-01",2,35,1,,,2,,"ASILI",2,1,2,1,2,2,0,,,,,1,3,1,,3,2,,10,10,,,220,240000,1,
"41-24-27-93","1781-001-01",1,11,2,2,1,2,,"MBEGU BORA SEEDCO",1,40,1,0,,,40,1,240000,16,3,2,,1,,10,2,,6,7,,,16200,4500000,1,
"41-24-27-93","1781-001-01",1,15,2,2,1,2,,"MBEGU YA ASILI",2,16,1,16,1,2,0,,,,,2,,1,,4,2,,7,7,,,1936,2420000,1,
"41-24-27-93","1781-001-01",1,34,2,2,1,2,,"MBEGU YA ASILI",2,18,1,18,1,2,0,,,,,2,,1,,10,2,,8,8,,,4320,1920000,1,
"41-24-27-93","1781-001-01",1,41,2,2,1,2,,"MBEGU YA ASILI",2,16,1,16,1,2,0,,,,,2,,1,,2,2,,7,7,,,1152,600000,1,
"00-71-13-59","1782-001-03",1,11,2,2,1,2,,"STUCA 60",1,24,1,0,,,24,1,72000,16,3,2,,1,,1,1,1,5,5,,,960,240000,3,5
"00-71-13-59","1782-001-03",1,41,2,2,1,2,,"ASILI",2,1,2,1,2,2,0,,,,,1,8,1,,2,1,1,6,6,,,675,405000,3,5
"70-69-92-64","1783-001-01",1,11,2,1,1,1,2,"MBEGU ZA ASILI",2,1,2,1,2,2,0,,,,,2,,1,,3,2,,7,7,,,540,150000,1,2
"70-69-92-64","1783-001-01",1,14,2,1,1,1,2,"MBEGU ZA ASILI",2,10,1,10,1,2,0,,,,,1,4,1,,2,1,7,6,6,,,240,60000,1,2
"70-69-92-64","1783-001-01",1,15,2,1,1,1,2,"MBEGU ZA ASILI",2,5,1,5,1,2,0,,,,,2,,1,,1,2,,6,6,,,240,96000,1,2
"70-69-92-64","1783-001-01",1,34,2,2,1,1,2,"MBEGU ZA ASILI",2,1,2,1,1,2,0,,,,,2,,1,,4,2,,8,8,,,300,150000,1,2
"70-69-92-64","1783-001-01",1,41,2,1,1,1,2,"MBEGU ZA ASILI",2,12,1,12,1,2,0,,,,,2,,1,,2,2,,5,5,,,840,490000,1,2
"70-69-92-64","1783-001-01",2,11,1,,,2,,"MBEGU ZA ASILI",2,2,2,2,2,2,0,,,,,2,,1,,5,2,,7,7,,,1080,300000,1,2
"94-30-16-27","1784-001-01",2,11,1,,,1,2,"SEEDCO",1,2,1,0,,,2,1,12000,16,3,2,,1,,0.25,2,,7,7,,,220,60000,1,5
"94-30-16-27","1784-001-01",2,34,1,,,1,2,"MBAAZI",2,2,1,2,1,2,0,,,,,2,,1,,0.25,2,,8,8,,,50,50000,1,5
"31-80-34-98","1785-001-02",1,11,1,,,1,2,"KIENYEJI",2,1,2,1,2,2,0,,,,,1,3,1,,1,1,4,5,6,,,960,336000,2,
"31-80-34-98","1785-001-02",1,34,1,,,1,2,"MSEREREKO",2,10,1,10,1,2,0,,,,,2,,1,,3,2,,9,9,,,560,280000,2,
