"interview__key","interview__id","cm_d01a1","cm_d01a2","cm_d01b1","cm_d01b2","cm_d01c1","cm_d01c2","cm_d01d1","cm_d01d2","cm_d01e1","cm_d01e2","cm_d01f1","cm_d01f2","cm_d01g1","cm_d01g2","cm_d01h1","cm_d01h2","cm_d02","cm_d03m","cm_d03y"
"86-92-25-33","e586593b34644fb9a3f66401c9d54e60",10000,,0,0,0,0,0,0,0,,,,0,0,0,0,2,,
"86-98-23-70","5c274d1eb09844af94eb3451358f0c34",500,50,0,0,0,0,0,0,0,0,500,50,0,0,0,0,2,,
"87-06-46-28","fb8d73ee3ffd4dc7be7217ca7ff886b6",,,,,,,,,,,,,,,,,2,,
"87-17-52-54","71eda08210544fe6955421246bee256c",0,0,0,0,0,0,0,0,0,0,640,33,0,0,1280,67,2,,
"87-30-25-18","0ab9d4f4756f48d091e2f7a4d7089be1",0,0,0,0,0,0,0,0,0,0,,,,,,,2,,
"87-38-35-52","1354e0ed18054aa594be124c2cbcf8ca",,,,,,,,,,,,,,,,,2,,
"87-46-51-34","041a98d8dd484746b35b0a2233ab4dc6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"87-55-65-27","cac6e574885448b78691dd7000705a42",,,,,,,,,,,,,,,,,2,,
"87-66-47-57","0c3e0728968f454e8317f60d9c39dde9",,,,,,,,,,,,,,,,,1,99,1972
"88-06-41-65","ee71eb22cc564e3bb993ee1478ce828a",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"88-16-97-35","78c4e98519c442f3824c2929a0d4be2f",0,0,0,0,0,0,0,0,0,0,7,76,0.128,1,1,13,2,,
"88-25-09-57","7a8b0e3237a3493fb08396fb4f70fc27",,,0,0,1,0,0,0,0,,,,,,,,1,8,1979
"88-59-39-10","3121d15662604a64bf868d7c01aa0a08",0,0,0,0,0,0,0,0,2,5,40,95,0,0,0,0,2,,
"88-67-87-75","683e31d2a4f347628625ffe598a96b4e",,,,,,,,,,,,,,,,,2,,
"89-52-41-90","b320186e6fff4dbd8935c0c0bc561c5e",0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,,,
"89-55-49-95","e4b41cb30f6a45169388727da6d19d5d",15,0,0,0,0,0,0,0,8,0,2594,99,1,0,0,0,2,,
"89-59-80-00","b6004f1f6af44f35922f86141f8afad3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"89-61-03-23","077e23e53d3645e7bde2ecab41ebf2d8",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"90-01-93-17","1e73caa84520478ea865ee63f049f58d",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"90-06-89-54","cbc8caab47f64451bb4fd7e9dcdd5550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1974
"90-18-13-09","036e6286db5f4aa4bc66d14ada599e93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"90-23-51-75","3904036fad70430993df2854bb6bff07",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"90-43-84-85","60ccf1e3221544adb085bbccab089153",,,,,,,,,,,,,,,,,1,99,
"90-96-74-86","56b4b2c458d04f6a8318b8c8e5634b70",5,9,0,0,0,0,0,0,0,0,50,91,0,0,0,0,2,,
"91-22-98-76","5c73a203f7a54992ad02f259b1e861c5",0,0,0,0,3,6,0,0,0,0,50,94,0,0,0,0,2,,
"91-47-83-73","55c960c382ed41fc8ee00eb1d3690728",19682,40,7381,15,4921,10,4921,10,0,0,9841,20,2460,5,0,0,1,5,2014
"91-50-98-00","e7ffc67e62504f359129f00fc0727af6",0,0,0,0,0,0,0,0,0,0,,,,,,,2,,
"92-21-22-44","b3948aacd95d45e499e300f631f20547",0,0,0,0,150,79,0,0,0,0,40,21,0,0,0,0,2,,
"92-34-52-51","3319c1f61996408e8d51733d17cbc9f0",4000,30,0,0,0,0,0,0,0,0,3000,30,0,0,0,0,1,3,2014
"92-42-20-01","685501ccf5aa43ec8c133d617d541981",,,,,,,,,,,,,,,,,2,,
"92-52-40-53","216a7c217d0f4cf5b5cf793d9ebdbcc7",0,0,0,0,0,0,0,0,0,0,11,100,0,0,0,0,2,,
"92-83-23-71","d2d2c4f3efd7421f830032aa2094e4ff",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"92-94-58-28","86e54f71a65a4267922b3258726f8450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"93-23-21-02","2ac403ac1a704deb91b14b5d0163232c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"93-27-32-02","d9978cdccf5b4827982a0aa75cdd1245",0,0,0,0,0,0,0,0,0,0,50,100,0,0,0,0,1,99,
"93-53-46-59","520d0b2faf064f3fa55774e0fbbb1cca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"93-63-55-05","daa8845c85fa4b12a7556a12af713777",,,,,,,,,,,,,,,,,2,,
"93-65-03-20","678ddbb7c58144ff8d771d8b8af34d1c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
"93-88-74-31","d3049893d1e14e0db411e32158438288",0,0,0,0,0,0,0,0,0,0,856,96,10,2,53,4,2,,
"94-00-25-76","c8793d4f2e544b2aaf6e939ecfd38e6f",,,,,,,,,,,,,,,,,,,
"94-11-66-50","779410d42c594eb3a65fa214a2f137bb",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"94-54-13-76","5bc282681cf4480b80227cbe1a7b6718",,,,,,,,,,,,,,,,,,,
"95-00-37-30","ad1782d7949c4918bebfa8f29e80100e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"95-30-66-57","ee1833f3c1ad4f79a818b2846c943140",345,37,0,0,0,0,0,0,0,0,600,63,0,0,0,0,2,,
"95-41-63-83","9f938846eb6a4a8ca39619216c422ff2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"95-55-41-56","6ee6f3fc4861469c94e9c6c1b0e4652e",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,2,,
"95-57-44-06","2eac5cbb43ca454e9679436cad7320a7",,,,,,,,,,,,,,,,,2,,
"95-75-07-94","6bdf280b428949108e9b458931ceedf3",,,,,,,,,,,,,,,,,2,,
"96-25-20-51","b41b8de52fa7436db71be6bf0f5a9a66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2020
"96-43-03-98","ba17eca4ca754132b90c08388b341fd6",400,50,0,0,0,0,0,0,3,1,100,20,0,0,0,0,1,5,2020
"96-62-91-73","be5a95e5c9fc4eed898906706fece787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"96-88-99-60","6c3b6d40cecd47df82d817656d44265d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"96-97-54-52","376ea2dac30a4f8687ae008905f0bd8e",,,,,,,,,,,,,,,,,2,,
"97-23-41-07","b20767802c16448697a2fc6b8cc5a1f2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1976
"97-25-96-57","4657317287cb4b3087a1b126bdcd0d0a",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,7,2016
"97-67-70-17","35771ac4af3d493e87d2def3bec1619a",0,0,0,0,0,0,0,0,0,0,110000,91,0,0,100,9,2,,
"98-22-62-82","edc65303056b4602b88bd2a5db11d5f0",0,0,0,0,0,0,0,0,0,0,2000,100,0,0,0,0,2,,
"98-46-12-09","ed5abc5e61af40f3ad5a62f4e9c8770f",,,,,,,,,,,,,,,,,1,9,2012
"98-48-60-73","a958a280d89d4a558577a30d239c1f88",612,49,0,0,125,7,0,0,0,0,450,40,0,0,50,4,2,,
"98-92-34-51","f4100eabea9e4b97bab88285ab53045d",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,8,2010
"99-08-48-89","dd0bc9dea0534236a2d6a69c8b7fe2df",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"99-33-61-18","2e62f403dfc94d6aa28444eedd35a193",0,0,0,0,0,0,0,0,0,0,,,,,0,0,2,,
"99-85-48-00","4191375813de4af7b0a989fdd89acac3",,,,,,,,,,,,,,,,,2,,
