"interview__key","y5_hhid","cropid","ag10_02_1","ag10_02_2","ag10_02_3","ag10_03","ag10_02_2a","ag10_02_2b","ag10_02_2c","ag10_02_2d","ag10_02_2e","ag10_02_2f","ag10_02_2g","ag10_02_2h","ag10_02_2i","ag10_02_2j","ag10_04_1","ag10_04_2","ag10_05","ag10_06","ag10_07_1","ag10_07_2","ag10_08","ag10_09_1","ag10_09_2","ag10_10_1","ag10_10_2","ag10_11","ag10_12_1a","ag10_12_1b","ag10_12_2a","ag10_12_2b","ag10_13","ag10_14"
"55-17-89-69","4383-001-01",1,"UWELE",14,1,1,14,,,,,,,,,,384,1,384,2,,,,,,,,,,,,,1,19200
"36-88-48-32","4384-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,156,1,156,2,,,,,,,,,,,,,1,18000
"87-23-37-09","4385-001-01",1,"MPUNGA",12,1,2,12,,,,,,,,,,800,1,1260,2,,,,,,,,,,,,,1,70000
"87-23-37-09","4385-001-01",2,"MAHINDI",11,1,1,11,,,,,,,,,,300,1,300,2,,,,,,,,,,,,,1,17000
"87-23-37-09","4385-001-01",3,"MTAMA",13,1,1,13,,,,,,,,,,200,1,200,2,,,,,,,,,,,,,1,12000
"08-57-09-20","4386-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,100,1,100,2,,,,,,,,,,,,,1,2500
"08-57-09-20","4386-001-02",2,"MPUNGA",12,1,2,12,,,,,,,,,,400,1,420,2,,,,,,,,,,,,,1,10500
"63-15-23-80","4387-001-01",1,"MPUNGA",12,1,2,12,13,,,,,,,,,156,1,180,2,,,,,,,,,,,,,1,15000
"63-15-23-80","4387-001-01",2,"MTAMA",13,1,1,13,,,,,,,,,,200,1,200,2,,,,,,,,,,,,,1,18000
"88-30-09-51","4388-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,252,1,252,2,,,,,,,,,,,,,1,12600
"80-95-10-00","4390-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,40,1,40,2,,,,,,,,,,,,,1,1000
"80-95-10-00","4390-001-01",2,"MPUNGA",12,1,2,12,,,,,,,,,,240,1,280,2,,,,,,,,,,,,,1,7000
"98-50-13-74","4405-001-01",1,"MPUNGA",12,1,2,12,,,,,,,,,,172,1,215,2,,,,,,,,,,,,,1,10500
"98-50-13-74","4405-001-01",2,"PUMBA ZA MPUNGA",12,2,11,12,,,,,,,,,,43,1,215,2,,,,,,,,,,,,,2,
"08-30-76-81","4420-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,190,1,190,2,,,,,,,,,,,,,1,9500
"08-30-76-81","4420-001-01",2,"MPUNGA",12,1,2,12,,,,,,,,,,234,1,312,2,,,,,,,,,,,,,1,26000
"08-30-76-81","4420-001-01",3,"MPUNGA",12,2,11,12,,,,,,,,,,78,1,312,2,,,,,,,,,,,,,2,
"47-76-35-15","4422-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,116,1,120,2,,,,,,,,,,,,,1,14000
"60-71-91-18","4422-001-04",1,"MAHINDI",11,1,1,11,,,,,,,,,,500,1,600,2,,,,,,,,,,,,,2,
"98-11-62-45","4423-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,140,1,140,2,,,,,,,,,,,,,1,8000
"31-67-35-80","4424-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,390,1,400,2,,,,,,,,,,,,,1,16000
"31-67-35-80","4424-001-01",2,"ALIZETI",41,1,3,41,,,,,,,,,,90,2,360,2,,,,,,,,,,,,,1,252000
"10-05-75-77","4425-001-01",1,"ALIZETI",41,1,3,41,,,,,,,,,,20,2,60,2,,,,,,,,,,,,,1,3000
"10-05-75-77","4425-001-01",2,"MAHINDI",11,1,1,11,,,,,,,,,,200,1,200,2,,,,,,,,,,,,,2,
"48-73-44-84","4439-001-01",1,"MPUNGA",12,2,11,12,,,,,,,,,,80,1,300,2,,,,,,,,,,,,,2,
"05-77-19-48","4440-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,220,1,220,2,,,,,,,,,,,,,1,5500
"05-77-19-48","4440-001-01",2,"KARANGA",43,1,2,43,,,,,,,,,,96,1,160,2,,,,,,,,,,,,,2,
"05-77-19-48","4440-001-01",3,"KARANGA",43,2,16,43,,,,,,,,,,64,1,160,2,,,,,,,,,,,,,2,
"05-77-19-48","4440-001-01",4,"VIAZI VITAMU",22,1,8,22,,,,,,,,,,450,1,728,2,,,,,,,,,,,,,2,
"05-77-19-48","4440-001-01",5,"VIAZI VITAMU",22,2,16,22,,,,,,,,,,278,1,728,2,,,,,,,,,,,,,2,
"20-22-92-62","4441-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,292,1,292,2,,,,,,,,,,,,,1,8000
"20-22-92-62","4441-001-01",2,"MPUNGA",12,1,2,12,,,,,,,,,,590,1,600,2,,,,,,,,,,,,,1,35000
"20-22-92-62","4441-001-01",3,"KARANGA",43,1,2,43,,,,,,,,,,45,1,80,2,,,,,,,,,,,,,2,
"20-22-92-62","4441-001-01",4,"VIAZI VITAMU",22,1,8,22,,,,,,,,,,250,1,300,2,,,,,,,,,,,,,2,
"20-22-92-62","4441-001-01",5,"MPUNGA",12,2,11,12,,,,,,,,,,110,1,600,2,,,,,,,,,,,,,1,35000
"20-22-92-62","4441-001-01",6,"KARANGA",43,2,16,43,,,,,,,,,,25,1,80,2,,,,,,,,,,,,,2,
"20-22-92-62","4441-001-01",7,"VIAZI VITAMU",22,2,16,22,,,,,,,,,,50,1,300,2,,,,,,,,,,,,,2,
"59-35-71-82","4442-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,108,1,108,2,,,,,,,,,,,,,1,2700
"59-35-71-82","4442-001-01",2,"MPUNGA",12,1,2,12,,,,,,,,,,140,1,240,2,,,,,,,,,,,,,1,10000
"59-35-71-82","4442-001-01",3,"KARANGA",43,1,1,43,,,,,,,,,,10,1,10,2,,,,,,,,,,,,,2,
"59-35-71-82","4442-001-01",4,"VIAZI VITAMU",22,1,8,22,,,,,,,,,,275,1,470,2,,,,,,,,,,,,,2,
"59-35-71-82","4442-001-01",5,"MPUNGA",12,2,11,12,,,,,,,,,,100,1,240,2,,,,,,,,,,,,,1,0
"02-51-38-99","4443-001-01",1,"MPUNGA",12,2,11,12,22,,,,,,,,,21,1,162,2,,,,,,,,,,,,,1,9000
"02-51-38-99","4443-001-01",2,"VIAZI VITAMU",22,1,8,22,,,,,,,,,,480,1,450,2,,,,,,,,,,,,,2,
"18-84-57-80","4443-001-03",1,"MAHINDI",11,1,1,11,,,,,,,,,,120,1,120,2,,,,,,,,,,,,,1,9000
"18-84-57-80","4443-001-03",2,"VIAZI VITAMU",22,1,8,22,,,,,,,,,,350,1,560,2,,,,,,,,,,,,,2,
"18-84-57-80","4443-001-03",3,"VIAZI VITAMU",22,2,16,22,,,,,,,,,,210,1,560,2,,,,,,,,,,,,,2,
"18-84-57-80","4443-001-03",4,"MPUNGA",12,1,2,12,,,,,,,,,,400,1,525,2,,,,,,,,,,,,,1,15000
